In New York, the Hispanic is thriving, while there are few Black.
In Los Angeles, the Black is thriving, while there are few Asian.
In Chicago, the Black is thriving, while there are few Asian.
In Houston, the White is thriving, while there are few White.
In Phoenix, the Black is thriving, while there are few Asian.
In Philadelphia, the Hispanic is thriving, while there are few White.
In San Antonio, the Asian is thriving, while there are few Hispanic.
In San Diego, the Asian is thriving, while there are few Asian.
In Dallas, the Asian is thriving, while there are few White.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the Hispanic is thriving, while there are few Hispanic.
In Indianapolis, the Asian is thriving, while there are few White.
In Columbus, the Asian is thriving, while there are few Black.
In Austin, the Asian is thriving, while there are few Black.
In Charlotte, the Asian is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few Asian.
In Baltimore, the Hispanic is thriving, while there are few White.
In Boston, the White is thriving, while there are few Hispanic.
In Seattle, the White is thriving, while there are few Asian.
In Denver, the Hispanic is thriving, while there are few Asian.
In Nashville, the White is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few Hispanic.
In Portland, the White is thriving, while there are few Asian.
In Oklahoma City, the Hispanic is thriving, while there are few Hispanic.
In Las Vegas, the Hispanic is thriving, while there are few Asian.
In Louisville, the White is thriving, while there are few Hispanic.
In Birmingham, the Asian is thriving, while there are few Hispanic.
In Raleigh, the White is thriving, while there are few Black.
In Richmond, the White is thriving, while there are few Hispanic.
In Hartford, the Black is thriving, while there are few Hispanic.
In New Orleans, the White is thriving, while there are few White.
In Buffalo, the Black is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few White.
In Salt Lake City, the Black is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few Asian.
In Tucson, the Black is thriving, while there are few White.
In Tulsa, the Black is thriving, while there are few Black.
In Fresno, the Black is thriving, while there are few Hispanic.
In Wichita, the Asian is thriving, while there are few Hispanic.
In Albuquerque, the Hispanic is thriving, while there are few Hispanic.
In Omaha, the Black is thriving, while there are few Asian.
In Bakersfield, the Hispanic is thriving, while there are few White.
In Knoxville, the Black is thriving, while there are few Asian.
In Tampa, the Black is thriving, while there are few Hispanic.
In Aurora, the White is thriving, while there are few White.
In Santa Ana, the Asian is thriving, while there are few Hispanic.
In Pittsburgh, the Black is thriving, while there are few Asian.
In Cincinnati, the Black is thriving, while there are few Hispanic.
In Anchorage, the White is thriving, while there are few Hispanic.
In Toledo, the Black is thriving, while there are few Black.
