In New York, the Hispanic is thriving, while there are few Asian.
In Los Angeles, the Asian is thriving, while there are few Black.
In Chicago, the Hispanic is thriving, while there are few Hispanic.
In Houston, the Black is thriving, while there are few Asian.
In Phoenix, the White is thriving, while there are few Asian.
In Philadelphia, the White is thriving, while there are few White.
In San Antonio, the White is thriving, while there are few Hispanic.
In San Diego, the Hispanic is thriving, while there are few Black.
In Dallas, the Asian is thriving, while there are few White.
In Detroit, the Asian is thriving, while there are few Black.
In Jacksonville, the Asian is thriving, while there are few White.
In Indianapolis, the White is thriving, while there are few Hispanic.
In Columbus, the Black is thriving, while there are few Black.
In Austin, the Asian is thriving, while there are few White.
In Charlotte, the Asian is thriving, while there are few Hispanic.
In Memphis, the Hispanic is thriving, while there are few Black.
In Baltimore, the Hispanic is thriving, while there are few Black.
In Boston, the Hispanic is thriving, while there are few White.
In Seattle, the White is thriving, while there are few Asian.
In Denver, the White is thriving, while there are few Black.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the Asian is thriving, while there are few Black.
In Portland, the Asian is thriving, while there are few Black.
In Oklahoma City, the Asian is thriving, while there are few White.
In Las Vegas, the Asian is thriving, while there are few White.
In Louisville, the Hispanic is thriving, while there are few Asian.
In Birmingham, the Hispanic is thriving, while there are few Asian.
In Raleigh, the Black is thriving, while there are few Asian.
In Richmond, the Asian is thriving, while there are few Hispanic.
In Hartford, the Hispanic is thriving, while there are few White.
In New Orleans, the Hispanic is thriving, while there are few Hispanic.
In Buffalo, the Hispanic is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few Asian.
In Salt Lake City, the Hispanic is thriving, while there are few Black.
In Grand Rapids, the Hispanic is thriving, while there are few Asian.
In Tucson, the Hispanic is thriving, while there are few Asian.
In Tulsa, the Asian is thriving, while there are few Black.
In Fresno, the Black is thriving, while there are few White.
In Wichita, the Hispanic is thriving, while there are few Asian.
In Albuquerque, the Black is thriving, while there are few Hispanic.
In Omaha, the Hispanic is thriving, while there are few Black.
In Bakersfield, the Asian is thriving, while there are few Hispanic.
In Knoxville, the Black is thriving, while there are few Hispanic.
In Tampa, the Asian is thriving, while there are few Asian.
In Aurora, the Hispanic is thriving, while there are few White.
In Santa Ana, the Asian is thriving, while there are few White.
In Pittsburgh, the Black is thriving, while there are few Black.
In Cincinnati, the Black is thriving, while there are few Asian.
In Anchorage, the Asian is thriving, while there are few Black.
In Toledo, the Black is thriving, while there are few White.
