In New York, the White is thriving, while there are few Black.
In Los Angeles, the Asian is thriving, while there are few Black.
In Chicago, the Black is thriving, while there are few Black.
In Houston, the Black is thriving, while there are few Asian.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the Asian is thriving, while there are few White.
In San Antonio, the White is thriving, while there are few Hispanic.
In San Diego, the White is thriving, while there are few Asian.
In Dallas, the Black is thriving, while there are few Black.
In Detroit, the Hispanic is thriving, while there are few White.
In Jacksonville, the Hispanic is thriving, while there are few Black.
In Indianapolis, the Asian is thriving, while there are few Black.
In Columbus, the Hispanic is thriving, while there are few Black.
In Austin, the White is thriving, while there are few Black.
In Charlotte, the Hispanic is thriving, while there are few Asian.
In Memphis, the Asian is thriving, while there are few Black.
In Baltimore, the Black is thriving, while there are few Asian.
In Boston, the Asian is thriving, while there are few Black.
In Seattle, the Black is thriving, while there are few Asian.
In Denver, the White is thriving, while there are few Hispanic.
In Nashville, the Asian is thriving, while there are few Hispanic.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the Asian is thriving, while there are few Black.
In Oklahoma City, the Asian is thriving, while there are few Asian.
In Las Vegas, the Hispanic is thriving, while there are few Asian.
In Louisville, the Black is thriving, while there are few Black.
In Birmingham, the Hispanic is thriving, while there are few Hispanic.
In Raleigh, the Hispanic is thriving, while there are few Hispanic.
In Richmond, the Hispanic is thriving, while there are few Hispanic.
In Hartford, the White is thriving, while there are few Black.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the White is thriving, while there are few White.
In Rochester, the Hispanic is thriving, while there are few Black.
In Salt Lake City, the Asian is thriving, while there are few White.
In Grand Rapids, the Black is thriving, while there are few White.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the White is thriving, while there are few Hispanic.
In Fresno, the Black is thriving, while there are few Hispanic.
In Wichita, the Asian is thriving, while there are few Asian.
In Albuquerque, the Black is thriving, while there are few Hispanic.
In Omaha, the Black is thriving, while there are few Hispanic.
In Bakersfield, the Hispanic is thriving, while there are few Black.
In Knoxville, the Black is thriving, while there are few Asian.
In Tampa, the Hispanic is thriving, while there are few Hispanic.
In Aurora, the Black is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few White.
In Pittsburgh, the Asian is thriving, while there are few Hispanic.
In Cincinnati, the Hispanic is thriving, while there are few Asian.
In Anchorage, the White is thriving, while there are few White.
In Toledo, the Hispanic is thriving, while there are few Hispanic.
