In New York, the Asian is thriving, while there are few Hispanic.
In Los Angeles, the Black is thriving, while there are few White.
In Chicago, the Hispanic is thriving, while there are few Hispanic.
In Houston, the Black is thriving, while there are few Hispanic.
In Phoenix, the Asian is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few Asian.
In San Antonio, the Black is thriving, while there are few Black.
In San Diego, the Hispanic is thriving, while there are few White.
In Dallas, the Asian is thriving, while there are few White.
In Detroit, the Asian is thriving, while there are few Asian.
In Jacksonville, the Hispanic is thriving, while there are few White.
In Indianapolis, the Black is thriving, while there are few Asian.
In Columbus, the White is thriving, while there are few Hispanic.
In Austin, the White is thriving, while there are few Black.
In Charlotte, the Black is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few Black.
In Baltimore, the Asian is thriving, while there are few Asian.
In Boston, the Hispanic is thriving, while there are few Black.
In Seattle, the White is thriving, while there are few Black.
In Denver, the Black is thriving, while there are few White.
In Nashville, the Hispanic is thriving, while there are few White.
In Milwaukee, the Asian is thriving, while there are few Black.
In Portland, the Hispanic is thriving, while there are few Black.
In Oklahoma City, the White is thriving, while there are few Asian.
In Las Vegas, the Black is thriving, while there are few White.
In Louisville, the Asian is thriving, while there are few White.
In Birmingham, the Asian is thriving, while there are few Asian.
In Raleigh, the Hispanic is thriving, while there are few Hispanic.
In Richmond, the White is thriving, while there are few Asian.
In Hartford, the Hispanic is thriving, while there are few White.
In New Orleans, the Asian is thriving, while there are few Hispanic.
In Buffalo, the White is thriving, while there are few Black.
In Rochester, the White is thriving, while there are few White.
In Salt Lake City, the White is thriving, while there are few Black.
In Grand Rapids, the Hispanic is thriving, while there are few White.
In Tucson, the Hispanic is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the Asian is thriving, while there are few Hispanic.
In Wichita, the Hispanic is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few Black.
In Omaha, the Hispanic is thriving, while there are few White.
In Bakersfield, the White is thriving, while there are few Asian.
In Knoxville, the Black is thriving, while there are few White.
In Tampa, the Hispanic is thriving, while there are few Black.
In Aurora, the Asian is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few White.
In Pittsburgh, the Black is thriving, while there are few Hispanic.
In Cincinnati, the Asian is thriving, while there are few Hispanic.
In Anchorage, the Asian is thriving, while there are few Black.
In Toledo, the White is thriving, while there are few White.
