In New York, the Black is thriving, while there are few Black.
In Los Angeles, the Hispanic is thriving, while there are few Hispanic.
In Chicago, the Black is thriving, while there are few Black.
In Houston, the Asian is thriving, while there are few Asian.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the Hispanic is thriving, while there are few Asian.
In San Antonio, the Asian is thriving, while there are few Hispanic.
In San Diego, the Hispanic is thriving, while there are few White.
In Dallas, the Black is thriving, while there are few White.
In Detroit, the Hispanic is thriving, while there are few Black.
In Jacksonville, the White is thriving, while there are few Asian.
In Indianapolis, the White is thriving, while there are few Black.
In Columbus, the Hispanic is thriving, while there are few Asian.
In Austin, the Hispanic is thriving, while there are few Hispanic.
In Charlotte, the Black is thriving, while there are few Black.
In Memphis, the Asian is thriving, while there are few Black.
In Baltimore, the White is thriving, while there are few White.
In Boston, the Asian is thriving, while there are few Hispanic.
In Seattle, the White is thriving, while there are few White.
In Denver, the White is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the Hispanic is thriving, while there are few Hispanic.
In Portland, the White is thriving, while there are few Asian.
In Oklahoma City, the White is thriving, while there are few Hispanic.
In Las Vegas, the Hispanic is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few Asian.
In Raleigh, the Black is thriving, while there are few White.
In Richmond, the Black is thriving, while there are few White.
In Hartford, the Asian is thriving, while there are few Hispanic.
In New Orleans, the Black is thriving, while there are few Hispanic.
In Buffalo, the Black is thriving, while there are few White.
In Rochester, the Asian is thriving, while there are few Black.
In Salt Lake City, the Black is thriving, while there are few Asian.
In Grand Rapids, the Asian is thriving, while there are few White.
In Tucson, the Asian is thriving, while there are few Hispanic.
In Tulsa, the Black is thriving, while there are few Black.
In Fresno, the Asian is thriving, while there are few Black.
In Wichita, the White is thriving, while there are few Hispanic.
In Albuquerque, the Hispanic is thriving, while there are few White.
In Omaha, the Black is thriving, while there are few Black.
In Bakersfield, the Black is thriving, while there are few Black.
In Knoxville, the Hispanic is thriving, while there are few Hispanic.
In Tampa, the Hispanic is thriving, while there are few Hispanic.
In Aurora, the Asian is thriving, while there are few White.
In Santa Ana, the Asian is thriving, while there are few Black.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the Black is thriving, while there are few Asian.
In Anchorage, the Asian is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few Asian.
