In New York, the Asian is thriving, while there are few Black.
In Los Angeles, the Hispanic is thriving, while there are few Asian.
In Chicago, the Black is thriving, while there are few Hispanic.
In Houston, the Asian is thriving, while there are few Black.
In Phoenix, the White is thriving, while there are few Hispanic.
In Philadelphia, the Black is thriving, while there are few White.
In San Antonio, the Asian is thriving, while there are few Hispanic.
In San Diego, the White is thriving, while there are few White.
In Dallas, the Hispanic is thriving, while there are few Black.
In Detroit, the Hispanic is thriving, while there are few Hispanic.
In Jacksonville, the White is thriving, while there are few Black.
In Indianapolis, the Hispanic is thriving, while there are few Hispanic.
In Columbus, the Asian is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few White.
In Memphis, the Black is thriving, while there are few Hispanic.
In Baltimore, the Hispanic is thriving, while there are few White.
In Boston, the Black is thriving, while there are few Hispanic.
In Seattle, the Asian is thriving, while there are few Asian.
In Denver, the Asian is thriving, while there are few Asian.
In Nashville, the White is thriving, while there are few Black.
In Milwaukee, the Hispanic is thriving, while there are few White.
In Portland, the Asian is thriving, while there are few White.
In Oklahoma City, the Asian is thriving, while there are few White.
In Las Vegas, the White is thriving, while there are few Hispanic.
In Louisville, the Black is thriving, while there are few Asian.
In Birmingham, the Hispanic is thriving, while there are few Asian.
In Raleigh, the Asian is thriving, while there are few Black.
In Richmond, the White is thriving, while there are few Black.
In Hartford, the Black is thriving, while there are few Black.
In New Orleans, the Asian is thriving, while there are few Hispanic.
In Buffalo, the Hispanic is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the White is thriving, while there are few Asian.
In Grand Rapids, the White is thriving, while there are few Hispanic.
In Tucson, the Asian is thriving, while there are few Black.
In Tulsa, the White is thriving, while there are few Black.
In Fresno, the Asian is thriving, while there are few Black.
In Wichita, the Black is thriving, while there are few White.
In Albuquerque, the Hispanic is thriving, while there are few White.
In Omaha, the Hispanic is thriving, while there are few White.
In Bakersfield, the Hispanic is thriving, while there are few Hispanic.
In Knoxville, the White is thriving, while there are few White.
In Tampa, the White is thriving, while there are few Hispanic.
In Aurora, the White is thriving, while there are few White.
In Santa Ana, the Black is thriving, while there are few White.
In Pittsburgh, the Asian is thriving, while there are few Hispanic.
In Cincinnati, the Hispanic is thriving, while there are few Asian.
In Anchorage, the White is thriving, while there are few Black.
In Toledo, the Hispanic is thriving, while there are few Asian.
