In New York, the White is thriving, while there are few Hispanic.
In Los Angeles, the Black is thriving, while there are few Asian.
In Chicago, the Black is thriving, while there are few Asian.
In Houston, the Black is thriving, while there are few Hispanic.
In Phoenix, the Hispanic is thriving, while there are few White.
In Philadelphia, the White is thriving, while there are few White.
In San Antonio, the White is thriving, while there are few White.
In San Diego, the Hispanic is thriving, while there are few White.
In Dallas, the Black is thriving, while there are few Hispanic.
In Detroit, the Asian is thriving, while there are few Asian.
In Jacksonville, the Hispanic is thriving, while there are few White.
In Indianapolis, the Hispanic is thriving, while there are few White.
In Columbus, the White is thriving, while there are few White.
In Austin, the White is thriving, while there are few Hispanic.
In Charlotte, the Hispanic is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few Black.
In Baltimore, the Black is thriving, while there are few Asian.
In Boston, the Black is thriving, while there are few Black.
In Seattle, the Black is thriving, while there are few Asian.
In Denver, the Black is thriving, while there are few Black.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the Hispanic is thriving, while there are few White.
In Portland, the Hispanic is thriving, while there are few White.
In Oklahoma City, the Hispanic is thriving, while there are few White.
In Las Vegas, the Hispanic is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few Black.
In Birmingham, the Black is thriving, while there are few White.
In Raleigh, the Asian is thriving, while there are few Hispanic.
In Richmond, the White is thriving, while there are few Hispanic.
In Hartford, the Hispanic is thriving, while there are few Asian.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the Asian is thriving, while there are few Black.
In Rochester, the Hispanic is thriving, while there are few Black.
In Salt Lake City, the Asian is thriving, while there are few Asian.
In Grand Rapids, the Hispanic is thriving, while there are few Black.
In Tucson, the White is thriving, while there are few Hispanic.
In Tulsa, the Asian is thriving, while there are few White.
In Fresno, the Asian is thriving, while there are few Asian.
In Wichita, the Asian is thriving, while there are few Black.
In Albuquerque, the White is thriving, while there are few Asian.
In Omaha, the White is thriving, while there are few Black.
In Bakersfield, the Asian is thriving, while there are few Hispanic.
In Knoxville, the Asian is thriving, while there are few White.
In Tampa, the White is thriving, while there are few Hispanic.
In Aurora, the White is thriving, while there are few White.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the Asian is thriving, while there are few Hispanic.
In Anchorage, the Asian is thriving, while there are few Asian.
In Toledo, the Black is thriving, while there are few Black.
