"name","slug","pop2024","growth","aland","usps","intptlat","intptlong","densityMi","rank"
"Indianapolis","indianapolis-in",877023,0,936465000,"IN",39.7767,-86.1459,2425.6000704778075,1
"Louisville","louisville-ky",617914,0,682291000,"KY",38.1654,-85.6474,2345.6227035092065,2
"Kansas City","kansas-city-mo",509993,0,815551000,"MO",39.1252,-94.5503,1619.6189692612725,3
"Raleigh","raleigh-nc",489977,0,377844000,"NC",35.8302,-78.6415,3358.6359185272227,4
"Omaha","omaha-ne",478443,0,365144000,"NE",41.2631,-96.052,3393.6402350853364,5
"Tulsa","tulsa-ok",410061,0,511465000,"OK",36.1279,-95.9023,2076.501793866638,6
"Wichita","wichita-ks",395218,0,418704000,"KS",37.6906,-97.3458,2444.7213783484276,7
"Lexington","lexington-ky",320095,0,734616000,"KY",38.0407,-84.4583,1128.5434158798612,8
"Cincinnati","cincinnati-oh",311169,0,201594000,"OH",39.1402,-84.5058,3997.7762731033663,9
"Pittsburgh","pittsburgh-pa",297812,0,143424000,"PA",40.4398,-79.9763,5377.991688978134,10
"Buffalo","buffalo-ny",273768,0,104578000,"NY",42.8925,-78.8597,6780.19392223986,11
"Fort Wayne","fort-wayne-in",271037,0,286546000,"IN",41.0882,-85.1439,2449.8189819435624,12
"Huntsville","huntsville-al",228455,0,555197000,"AL",34.7013,-86.6729,1065.74504185001,13
"Baton Rouge","baton-rouge-la",216207,0,223903000,"LA",30.4422,-91.1309,2500.9764496232747,14
"Des Moines","des-moines-ia",208026,0,228385000,"IA",41.5726,-93.6102,2359.118768745758,15
"Grand Rapids","grand-rapids-mi",195222,0,115919000,"MI",42.9612,-85.6556,4361.881831278737,16
"Lafayette","lafayette-la",121195,0,143733000,"LA",30.2079,-92.0313,2183.8760062059514,17
"Fayetteville","fayetteville-ar",103199,0,139931000,"AR",36.0715,-94.1666,1910.1229177237353,18
"Greenville","greenville-sc",72358,0,76765900,"SC",34.8369,-82.363,2441.2821317798657,19
"Youngstown","youngstown-oh",59082,0,87880800,"OH",41.0991,-80.6459,1741.2492831198624,20
