"name","slug","pop2024","growth","aland","usps","intptlat","intptlong","densityMi","rank"
"San Diego","san-diego-ca",1394518,0,844018000,"CA",32.815,-117.136,4279.2945411116825,1
"Dallas","dallas-tx",1317210,0,879911000,"TX",32.7933,-96.7665,3877.180646679039,2
"Jacksonville","jacksonville-fl",1000135,0,1935930000,"FL",30.3369,-81.6616,1338.03890119994,3
"Austin","austin-tx",984655,0,828638000,"TX",30.3012,-97.7527,3077.648442383767,4
"San Jose","san-jose-ca",950767,0,460521000,"CA",37.2967,-121.819,5347.175329680948,5
"Charlotte","charlotte-nc",928154,0,795744000,"NC",35.2079,-80.8301,3020.970136124181,6
"Columbus","columbus-oh",917811,0,567718000,"OH",39.9852,-82.9848,4187.1677311623025,7
"San Francisco","san-francisco-ca",802805,0,121478000,"CA",37.7272,-123.032,17116.39103376743,8
"Seattle","seattle-wa",784754,0,217201000,"WA",47.6194,-122.351,9357.750931165141,9
"Denver","denver-co",717110,0,397025000,"CO",39.7618,-104.881,4678.080473521818,10
"Boston","boston-ma",643044,0,125197000,"MA",42.3386,-71.0182,13302.906299671717,11
"Baltimore","baltimore-md",555831,0,209651000,"MD",39.3,-76.6105,6866.660736175835,12
"Atlanta","atlanta-ga",512047,0,351557000,"GA",33.7629,-84.4227,3772.3661596839206,13
"Colorado Springs","colorado-springs-co",492088,0,505047000,"CO",38.8673,-104.761,2523.5431949897734,14
"Raleigh","raleigh-nc",489977,0,377844000,"NC",35.8302,-78.6415,3358.6359185272227,15
"Tampa","tampa-fl",408733,0,295302000,"FL",27.9679,-82.4746,3584.8672545394206,16
"Durham","durham-nc",297430,0,290650000,"NC",35.9811,-78.9029,2650.416996387408,17
"Huntsville","huntsville-al",228455,0,555197000,"AL",34.7013,-86.6729,1065.74504185001,18
"Boulder","boulder-co",108453,0,68097500,"CO",40.0245,-105.253,4124.869048056096,19
