"name","slug","pop2024","growth","aland","usps","intptlat","intptlong","densityMi","rank"
"Dallas","dallas-tx",1317210,0,879911000,"TX",32.7933,-96.7665,3877.180646679039,1
"Fort Worth","fort-worth-tx",995049,0,895059000,"TX",32.7815,-97.3467,2879.337462670059,2
"Denver","denver-co",717110,0,397025000,"CO",39.7618,-104.881,4678.080473521818,3
"Tampa","tampa-fl",408733,0,295302000,"FL",27.9679,-82.4746,3584.8672545394206,4
"Honolulu","honolulu-hi",348547,0,156807000,"HI",21.3243,-157.848,5756.992544975671,5
"Orlando","orlando-fl",328535,0,286346000,"FL",28.4246,-81.227,2971.5995683543683,6
"Lincoln","lincoln-ne",294929,0,249217000,"NE",40.809,-96.6789,3065.0642211406125,7
"St. Petersburg","st-petersburg-fl",265602,0,160228000,"FL",27.7609,-82.6434,4293.314401977183,8
"Syracuse","syracuse-ny",141707,0,64826300,"NY",43.041,-76.1436,5661.608482976816,9
"Wilmington","wilmington-nc",125388,0,133134000,"NC",34.2092,-77.8858,2439.308666456352,10
"Bellingham","bellingham-wa",101422,0,71706900,"WA",48.7534,-122.47,3663.287354494477,11
"Burlington","burlington-vt",44327,0,26693500,"VT",44.4919,-73.2389,4300.932062112499,12
