"pop2024","pop2023","pop2020","pop2010","growth","usps","geoid","ansicode","name","lsad","funcstat","aland","awater","aland_sqmi","awater_sqmi","intptlat","intptlong","slug","metroId","countyfips","rank","density"
8089689,8212793,8740647,8190105,-0.01499,"NY",3651000,2395220,"New York City","2",0,777983000,434642000,300.381,167.816,40.6635,-73.9387,"new-york-city-ny",35620,"36061",1,26931
3790742,3806490,3895836,3795206,-0.00414,"CA",644000,2410877,"Los Angeles","2",0,1214590000,87468500,468.956,33.772,34.0194,-118.411,"los-angeles-ca",31080,"6037",2,8083
2599059,2632049,2740076,2697480,-0.01253,"IL",1714000,428803,"Chicago","2",0,588882000,17621500,227.369,6.804,41.8376,-87.6818,"chicago-il",16980,"17031",3,11431
2325324,2314101,2299867,2097647,0.00485,"TX",4835000,2410796,"Houston","2",0,1658090000,81248100,640.194,31.37,29.7857,-95.3888,"houston-tx",26420,"48201|48157|48339",4,3632
1682515,1663462,1612337,1448998,0.01145,"AZ",455000,2411414,"Phoenix","2",0,1340770000,3236740,517.673,1.25,33.5722,-112.09,"phoenix-az",38060,"4013",5,3250
1522814,1545036,1600600,1528303,-0.01438,"PA",4260000,1215531,"Philadelphia","2",0,347782000,21806100,134.279,8.419,40.0094,-75.1333,"philadelphia-pa",37980,"42101",6,11341
1510687,1491798,1439225,1332966,0.01266,"TX",4865000,2411774,"San Antonio","2",0,1256440000,14515600,485.113,5.605,29.4659,-98.5247,"san-antonio-tx",41700,"48029|48325",7,3114
1394518,1387840,1386872,1305632,0.00481,"CA",666000,2411782,"San Diego","2",0,844018000,120537000,325.877,46.54,32.815,-117.136,"san-diego-ca",41740,"6073",8,4279
1317210,1308377,1303641,1200360,0.00675,"TX",4819000,2410288,"Dallas","2",0,879911000,115783000,339.736,44.704,32.7933,-96.7665,"dallas-tx",19100,"48113|48085|48121|48257|48397",9,3877
1000135,985727,951707,823146,0.01462,"FL",1235000,2404783,"Jacksonville","2",0,1935930000,329458000,747.467,127.204,30.3369,-81.6616,"jacksonville-fl",27260,"12031",10,1338
995049,975879,923576,748419,0.01964,"TX",4827000,2410531,"Fort Worth","2",0,895059000,21698300,345.584,8.378,32.7815,-97.3467,"fort-worth-tx",19100,"48439|48121|48497|48367",11,2879
984655,979551,965768,806214,0.00521,"TX",4805000,2409761,"Austin","2",0,828638000,17024700,319.939,6.573,30.3012,-97.7527,"austin-tx",12420,"48453|48491|48209",12,3078
950767,961000,1009830,954552,-0.01065,"CA",668000,2411790,"San Jose","2",0,460521000,8129850,177.808,3.139,37.2967,-121.819,"san-jose-ca",41940,"6085",13,5347
928154,912937,875115,738446,0.01667,"NC",3712000,2404032,"Charlotte","2",0,795744000,5151780,307.238,1.989,35.2079,-80.8301,"charlotte-nc",16740,"37119",14,3021
917811,912891,906266,790942,0.00539,"OH",3918000,1086101,"Columbus","2",0,567718000,15174700,219.197,5.859,39.9852,-82.9848,"columbus-oh",18140,"39049|39045|39041",15,4187
877023,878822,887153,821576,-0.00205,"IN",1836003,2395424,"Indianapolis","0",0,936465000,16419900,361.571,6.34,39.7767,-86.1459,"indianapolis-in",26900,"18097",16,2426
