In New York, the Black is thriving, while there are few Hispanic.
In Los Angeles, the Hispanic is thriving, while there are few White.
In Chicago, the Hispanic is thriving, while there are few White.
In Houston, the Hispanic is thriving, while there are few Black.
In Phoenix, the Black is thriving, while there are few Black.
In Philadelphia, the Black is thriving, while there are few Hispanic.
In San Antonio, the Asian is thriving, while there are few Hispanic.
In San Diego, the Asian is thriving, while there are few Hispanic.
In Dallas, the Black is thriving, while there are few Asian.
In Detroit, the White is thriving, while there are few Hispanic.
In Jacksonville, the Asian is thriving, while there are few Hispanic.
In Indianapolis, the Asian is thriving, while there are few Asian.
In Columbus, the White is thriving, while there are few Hispanic.
In Austin, the Black is thriving, while there are few White.
In Charlotte, the Black is thriving, while there are few Black.
In Memphis, the Black is thriving, while there are few Hispanic.
In Baltimore, the Asian is thriving, while there are few Asian.
In Boston, the White is thriving, while there are few Hispanic.
In Seattle, the Hispanic is thriving, while there are few Hispanic.
In Denver, the Asian is thriving, while there are few White.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the Asian is thriving, while there are few White.
In Oklahoma City, the Asian is thriving, while there are few Black.
In Las Vegas, the Asian is thriving, while there are few Asian.
In Louisville, the Hispanic is thriving, while there are few Black.
In Birmingham, the Black is thriving, while there are few Black.
In Raleigh, the Hispanic is thriving, while there are few Black.
In Richmond, the Asian is thriving, while there are few Asian.
In Hartford, the Hispanic is thriving, while there are few Black.
In New Orleans, the White is thriving, while there are few Hispanic.
In Buffalo, the White is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few Black.
In Salt Lake City, the Asian is thriving, while there are few Asian.
In Grand Rapids, the Black is thriving, while there are few Black.
In Tucson, the White is thriving, while there are few White.
In Tulsa, the Asian is thriving, while there are few Asian.
In Fresno, the Asian is thriving, while there are few White.
In Wichita, the Asian is thriving, while there are few Asian.
In Albuquerque, the Asian is thriving, while there are few Asian.
In Omaha, the Asian is thriving, while there are few Black.
In Bakersfield, the Asian is thriving, while there are few White.
In Knoxville, the Asian is thriving, while there are few Black.
In Tampa, the White is thriving, while there are few Asian.
In Aurora, the Black is thriving, while there are few White.
In Santa Ana, the Hispanic is thriving, while there are few White.
In Pittsburgh, the White is thriving, while there are few White.
In Cincinnati, the White is thriving, while there are few White.
In Anchorage, the Hispanic is thriving, while there are few White.
In Toledo, the Black is thriving, while there are few Asian.
