In New York, the Hispanic is thriving, while there are few Asian.
In Los Angeles, the White is thriving, while there are few White.
In Chicago, the Asian is thriving, while there are few White.
In Houston, the Black is thriving, while there are few Asian.
In Phoenix, the Hispanic is thriving, while there are few Hispanic.
In Philadelphia, the Black is thriving, while there are few White.
In San Antonio, the Hispanic is thriving, while there are few White.
In San Diego, the White is thriving, while there are few White.
In Dallas, the White is thriving, while there are few White.
In Detroit, the Black is thriving, while there are few Black.
In Jacksonville, the Black is thriving, while there are few White.
In Indianapolis, the White is thriving, while there are few Hispanic.
In Columbus, the Black is thriving, while there are few White.
In Austin, the Asian is thriving, while there are few White.
In Charlotte, the Hispanic is thriving, while there are few Black.
In Memphis, the White is thriving, while there are few Black.
In Baltimore, the Hispanic is thriving, while there are few Hispanic.
In Boston, the Black is thriving, while there are few Hispanic.
In Seattle, the Black is thriving, while there are few White.
In Denver, the Black is thriving, while there are few White.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the Black is thriving, while there are few Asian.
In Portland, the Hispanic is thriving, while there are few White.
In Oklahoma City, the Hispanic is thriving, while there are few Black.
In Las Vegas, the Black is thriving, while there are few Asian.
In Louisville, the Black is thriving, while there are few Asian.
In Birmingham, the Black is thriving, while there are few Asian.
In Raleigh, the White is thriving, while there are few Black.
In Richmond, the Hispanic is thriving, while there are few Asian.
In Hartford, the Hispanic is thriving, while there are few Asian.
In New Orleans, the Hispanic is thriving, while there are few White.
In Buffalo, the White is thriving, while there are few Asian.
In Rochester, the White is thriving, while there are few Asian.
In Salt Lake City, the Asian is thriving, while there are few Asian.
In Grand Rapids, the Black is thriving, while there are few Black.
In Tucson, the Asian is thriving, while there are few Hispanic.
In Tulsa, the Hispanic is thriving, while there are few Hispanic.
In Fresno, the Black is thriving, while there are few Black.
In Wichita, the Asian is thriving, while there are few White.
In Albuquerque, the Hispanic is thriving, while there are few White.
In Omaha, the Asian is thriving, while there are few Asian.
In Bakersfield, the Hispanic is thriving, while there are few Black.
In Knoxville, the White is thriving, while there are few Hispanic.
In Tampa, the Black is thriving, while there are few White.
In Aurora, the Hispanic is thriving, while there are few White.
In Santa Ana, the Black is thriving, while there are few Asian.
In Pittsburgh, the Hispanic is thriving, while there are few Asian.
In Cincinnati, the White is thriving, while there are few Hispanic.
In Anchorage, the White is thriving, while there are few Black.
In Toledo, the White is thriving, while there are few Black.
