In New York, the Hispanic is thriving, while there are few White.
In Los Angeles, the Hispanic is thriving, while there are few White.
In Chicago, the White is thriving, while there are few White.
In Houston, the Asian is thriving, while there are few Hispanic.
In Phoenix, the White is thriving, while there are few Asian.
In Philadelphia, the Hispanic is thriving, while there are few Asian.
In San Antonio, the White is thriving, while there are few Black.
In San Diego, the Black is thriving, while there are few Asian.
In Dallas, the Black is thriving, while there are few White.
In Detroit, the Asian is thriving, while there are few Black.
In Jacksonville, the Black is thriving, while there are few Hispanic.
In Indianapolis, the White is thriving, while there are few Asian.
In Columbus, the Black is thriving, while there are few Asian.
In Austin, the Black is thriving, while there are few Hispanic.
In Charlotte, the White is thriving, while there are few Asian.
In Memphis, the Asian is thriving, while there are few White.
In Baltimore, the White is thriving, while there are few Black.
In Boston, the Asian is thriving, while there are few White.
In Seattle, the White is thriving, while there are few Hispanic.
In Denver, the Asian is thriving, while there are few Hispanic.
In Nashville, the Hispanic is thriving, while there are few Asian.
In Milwaukee, the Hispanic is thriving, while there are few Hispanic.
In Portland, the Asian is thriving, while there are few White.
In Oklahoma City, the Black is thriving, while there are few Black.
In Las Vegas, the Hispanic is thriving, while there are few Asian.
In Louisville, the White is thriving, while there are few Asian.
In Birmingham, the Asian is thriving, while there are few Asian.
In Raleigh, the Black is thriving, while there are few Black.
In Richmond, the Black is thriving, while there are few Hispanic.
In Hartford, the Black is thriving, while there are few White.
In New Orleans, the Asian is thriving, while there are few Asian.
In Buffalo, the Hispanic is thriving, while there are few Asian.
In Rochester, the Hispanic is thriving, while there are few White.
In Salt Lake City, the Hispanic is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few Asian.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the White is thriving, while there are few White.
In Fresno, the Hispanic is thriving, while there are few White.
In Wichita, the White is thriving, while there are few Hispanic.
In Albuquerque, the Hispanic is thriving, while there are few White.
In Omaha, the White is thriving, while there are few Hispanic.
In Bakersfield, the White is thriving, while there are few Black.
In Knoxville, the Black is thriving, while there are few Hispanic.
In Tampa, the White is thriving, while there are few Hispanic.
In Aurora, the Hispanic is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few Hispanic.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the White is thriving, while there are few Black.
In Anchorage, the White is thriving, while there are few Black.
In Toledo, the Hispanic is thriving, while there are few White.
