In New York, the White is thriving, while there are few Black.
In Los Angeles, the Asian is thriving, while there are few White.
In Chicago, the Asian is thriving, while there are few White.
In Houston, the Black is thriving, while there are few Hispanic.
In Phoenix, the Hispanic is thriving, while there are few Asian.
In Philadelphia, the Black is thriving, while there are few Hispanic.
In San Antonio, the White is thriving, while there are few Hispanic.
In San Diego, the Asian is thriving, while there are few Asian.
In Dallas, the Black is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few Black.
In Jacksonville, the White is thriving, while there are few Black.
In Indianapolis, the White is thriving, while there are few Hispanic.
In Columbus, the Black is thriving, while there are few Asian.
In Austin, the Black is thriving, while there are few Black.
In Charlotte, the Asian is thriving, while there are few White.
In Memphis, the Hispanic is thriving, while there are few Black.
In Baltimore, the Hispanic is thriving, while there are few Black.
In Boston, the Hispanic is thriving, while there are few Asian.
In Seattle, the Asian is thriving, while there are few Hispanic.
In Denver, the Hispanic is thriving, while there are few Black.
In Nashville, the Hispanic is thriving, while there are few White.
In Milwaukee, the Asian is thriving, while there are few Black.
In Portland, the Asian is thriving, while there are few White.
In Oklahoma City, the White is thriving, while there are few Black.
In Las Vegas, the Hispanic is thriving, while there are few Asian.
In Louisville, the Black is thriving, while there are few White.
In Birmingham, the Hispanic is thriving, while there are few White.
In Raleigh, the White is thriving, while there are few Asian.
In Richmond, the Asian is thriving, while there are few Black.
In Hartford, the Asian is thriving, while there are few Hispanic.
In New Orleans, the Asian is thriving, while there are few White.
In Buffalo, the Hispanic is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few Hispanic.
In Salt Lake City, the Asian is thriving, while there are few Asian.
In Grand Rapids, the Hispanic is thriving, while there are few Asian.
In Tucson, the Asian is thriving, while there are few Asian.
In Tulsa, the White is thriving, while there are few Asian.
In Fresno, the Hispanic is thriving, while there are few Asian.
In Wichita, the Asian is thriving, while there are few Hispanic.
In Albuquerque, the White is thriving, while there are few Asian.
In Omaha, the Hispanic is thriving, while there are few Asian.
In Bakersfield, the Black is thriving, while there are few Asian.
In Knoxville, the White is thriving, while there are few Asian.
In Tampa, the Asian is thriving, while there are few Black.
In Aurora, the Asian is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few Hispanic.
In Pittsburgh, the Asian is thriving, while there are few Hispanic.
In Cincinnati, the Hispanic is thriving, while there are few White.
In Anchorage, the Black is thriving, while there are few Asian.
In Toledo, the Black is thriving, while there are few White.
