In New York, the Black is thriving, while there are few Black.
In Los Angeles, the Hispanic is thriving, while there are few Asian.
In Chicago, the Asian is thriving, while there are few Black.
In Houston, the Hispanic is thriving, while there are few Hispanic.
In Phoenix, the White is thriving, while there are few Asian.
In Philadelphia, the Asian is thriving, while there are few White.
In San Antonio, the White is thriving, while there are few Hispanic.
In San Diego, the Hispanic is thriving, while there are few Asian.
In Dallas, the White is thriving, while there are few Black.
In Detroit, the Asian is thriving, while there are few White.
In Jacksonville, the Black is thriving, while there are few Black.
In Indianapolis, the Hispanic is thriving, while there are few Black.
In Columbus, the Hispanic is thriving, while there are few Asian.
In Austin, the Black is thriving, while there are few White.
In Charlotte, the Asian is thriving, while there are few Hispanic.
In Memphis, the Hispanic is thriving, while there are few Asian.
In Baltimore, the Hispanic is thriving, while there are few White.
In Boston, the White is thriving, while there are few Asian.
In Seattle, the Hispanic is thriving, while there are few Hispanic.
In Denver, the White is thriving, while there are few Black.
In Nashville, the White is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few White.
In Portland, the Hispanic is thriving, while there are few White.
In Oklahoma City, the Black is thriving, while there are few Black.
In Las Vegas, the Asian is thriving, while there are few Black.
In Louisville, the Hispanic is thriving, while there are few Black.
In Birmingham, the Asian is thriving, while there are few White.
In Raleigh, the Black is thriving, while there are few White.
In Richmond, the White is thriving, while there are few White.
In Hartford, the Asian is thriving, while there are few Hispanic.
In New Orleans, the Black is thriving, while there are few Asian.
In Buffalo, the Black is thriving, while there are few Hispanic.
In Rochester, the Asian is thriving, while there are few Black.
In Salt Lake City, the Black is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few Asian.
In Tucson, the Asian is thriving, while there are few Hispanic.
In Tulsa, the Asian is thriving, while there are few Hispanic.
In Fresno, the Asian is thriving, while there are few Black.
In Wichita, the Black is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few Black.
In Omaha, the Asian is thriving, while there are few Hispanic.
In Bakersfield, the Black is thriving, while there are few White.
In Knoxville, the Hispanic is thriving, while there are few Asian.
In Tampa, the Black is thriving, while there are few Black.
In Aurora, the White is thriving, while there are few White.
In Santa Ana, the Hispanic is thriving, while there are few White.
In Pittsburgh, the Black is thriving, while there are few Hispanic.
In Cincinnati, the Black is thriving, while there are few Black.
In Anchorage, the Hispanic is thriving, while there are few Hispanic.
In Toledo, the White is thriving, while there are few White.
