In New York, the Hispanic is thriving, while there are few Hispanic.
In Los Angeles, the Asian is thriving, while there are few Asian.
In Chicago, the Black is thriving, while there are few Black.
In Houston, the White is thriving, while there are few Asian.
In Phoenix, the Asian is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few Asian.
In San Antonio, the Asian is thriving, while there are few Hispanic.
In San Diego, the Asian is thriving, while there are few Hispanic.
In Dallas, the Asian is thriving, while there are few White.
In Detroit, the White is thriving, while there are few Hispanic.
In Jacksonville, the Black is thriving, while there are few Black.
In Indianapolis, the Black is thriving, while there are few Hispanic.
In Columbus, the Black is thriving, while there are few Black.
In Austin, the Black is thriving, while there are few Hispanic.
In Charlotte, the Asian is thriving, while there are few Black.
In Memphis, the Hispanic is thriving, while there are few White.
In Baltimore, the Black is thriving, while there are few Hispanic.
In Boston, the White is thriving, while there are few Asian.
In Seattle, the Asian is thriving, while there are few White.
In Denver, the Hispanic is thriving, while there are few White.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the Hispanic is thriving, while there are few Asian.
In Portland, the White is thriving, while there are few Asian.
In Oklahoma City, the Hispanic is thriving, while there are few White.
In Las Vegas, the White is thriving, while there are few Asian.
In Louisville, the Hispanic is thriving, while there are few White.
In Birmingham, the Hispanic is thriving, while there are few Black.
In Raleigh, the Asian is thriving, while there are few Black.
In Richmond, the Asian is thriving, while there are few Hispanic.
In Hartford, the White is thriving, while there are few Asian.
In New Orleans, the Black is thriving, while there are few Asian.
In Buffalo, the Asian is thriving, while there are few Black.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the White is thriving, while there are few Asian.
In Grand Rapids, the Black is thriving, while there are few Black.
In Tucson, the Black is thriving, while there are few Hispanic.
In Tulsa, the Asian is thriving, while there are few Asian.
In Fresno, the White is thriving, while there are few White.
In Wichita, the Asian is thriving, while there are few Asian.
In Albuquerque, the Hispanic is thriving, while there are few White.
In Omaha, the Black is thriving, while there are few White.
In Bakersfield, the White is thriving, while there are few Asian.
In Knoxville, the Hispanic is thriving, while there are few Black.
In Tampa, the Black is thriving, while there are few Asian.
In Aurora, the White is thriving, while there are few White.
In Santa Ana, the Asian is thriving, while there are few Asian.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the Black is thriving, while there are few Asian.
In Anchorage, the White is thriving, while there are few Black.
In Toledo, the Asian is thriving, while there are few White.
