In New York, the Black is thriving, while there are few Asian.
In Los Angeles, the Hispanic is thriving, while there are few White.
In Chicago, the White is thriving, while there are few Black.
In Houston, the Black is thriving, while there are few Asian.
In Phoenix, the White is thriving, while there are few Asian.
In Philadelphia, the Black is thriving, while there are few Hispanic.
In San Antonio, the Hispanic is thriving, while there are few Asian.
In San Diego, the White is thriving, while there are few Hispanic.
In Dallas, the White is thriving, while there are few Hispanic.
In Detroit, the Hispanic is thriving, while there are few Asian.
In Jacksonville, the Hispanic is thriving, while there are few Asian.
In Indianapolis, the Asian is thriving, while there are few Black.
In Columbus, the Asian is thriving, while there are few Asian.
In Austin, the White is thriving, while there are few Hispanic.
In Charlotte, the Hispanic is thriving, while there are few Black.
In Memphis, the Black is thriving, while there are few Black.
In Baltimore, the Asian is thriving, while there are few White.
In Boston, the White is thriving, while there are few Black.
In Seattle, the Black is thriving, while there are few Hispanic.
In Denver, the Hispanic is thriving, while there are few White.
In Nashville, the Black is thriving, while there are few Black.
In Milwaukee, the Asian is thriving, while there are few White.
In Portland, the White is thriving, while there are few White.
In Oklahoma City, the White is thriving, while there are few Black.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the Hispanic is thriving, while there are few Black.
In Birmingham, the Black is thriving, while there are few Black.
In Raleigh, the Hispanic is thriving, while there are few White.
In Richmond, the White is thriving, while there are few Asian.
In Hartford, the Black is thriving, while there are few Asian.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the Black is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few Black.
In Salt Lake City, the Black is thriving, while there are few White.
In Grand Rapids, the Asian is thriving, while there are few Hispanic.
In Tucson, the Black is thriving, while there are few Black.
In Tulsa, the Asian is thriving, while there are few Hispanic.
In Fresno, the Hispanic is thriving, while there are few White.
In Wichita, the Black is thriving, while there are few White.
In Albuquerque, the Asian is thriving, while there are few Hispanic.
In Omaha, the Asian is thriving, while there are few Asian.
In Bakersfield, the Black is thriving, while there are few White.
In Knoxville, the Black is thriving, while there are few Hispanic.
In Tampa, the Black is thriving, while there are few White.
In Aurora, the Hispanic is thriving, while there are few White.
In Santa Ana, the Hispanic is thriving, while there are few Asian.
In Pittsburgh, the White is thriving, while there are few White.
In Cincinnati, the White is thriving, while there are few White.
In Anchorage, the White is thriving, while there are few Hispanic.
In Toledo, the Black is thriving, while there are few Hispanic.
