In New York, the Asian is thriving, while there are few Asian.
In Los Angeles, the Asian is thriving, while there are few Black.
In Chicago, the Hispanic is thriving, while there are few Hispanic.
In Houston, the Asian is thriving, while there are few Hispanic.
In Phoenix, the Black is thriving, while there are few Asian.
In Philadelphia, the Hispanic is thriving, while there are few White.
In San Antonio, the White is thriving, while there are few Asian.
In San Diego, the White is thriving, while there are few White.
In Dallas, the White is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few Asian.
In Jacksonville, the Black is thriving, while there are few White.
In Indianapolis, the Black is thriving, while there are few White.
In Columbus, the Hispanic is thriving, while there are few Hispanic.
In Austin, the Asian is thriving, while there are few Asian.
In Charlotte, the White is thriving, while there are few Black.
In Memphis, the Black is thriving, while there are few Black.
In Baltimore, the Hispanic is thriving, while there are few White.
In Boston, the White is thriving, while there are few White.
In Seattle, the Hispanic is thriving, while there are few Hispanic.
In Denver, the Hispanic is thriving, while there are few White.
In Nashville, the Black is thriving, while there are few Asian.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the White is thriving, while there are few Hispanic.
In Oklahoma City, the Black is thriving, while there are few Asian.
In Las Vegas, the Hispanic is thriving, while there are few White.
In Louisville, the Asian is thriving, while there are few Hispanic.
In Birmingham, the Hispanic is thriving, while there are few Black.
In Raleigh, the White is thriving, while there are few Black.
In Richmond, the Asian is thriving, while there are few White.
In Hartford, the Asian is thriving, while there are few Asian.
In New Orleans, the Hispanic is thriving, while there are few Black.
In Buffalo, the Asian is thriving, while there are few Black.
In Rochester, the Hispanic is thriving, while there are few Hispanic.
In Salt Lake City, the Black is thriving, while there are few Hispanic.
In Grand Rapids, the White is thriving, while there are few White.
In Tucson, the Asian is thriving, while there are few White.
In Tulsa, the White is thriving, while there are few White.
In Fresno, the Hispanic is thriving, while there are few White.
In Wichita, the Hispanic is thriving, while there are few White.
In Albuquerque, the Asian is thriving, while there are few Black.
In Omaha, the White is thriving, while there are few Asian.
In Bakersfield, the Hispanic is thriving, while there are few Asian.
In Knoxville, the White is thriving, while there are few Black.
In Tampa, the White is thriving, while there are few Black.
In Aurora, the Black is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few Asian.
In Pittsburgh, the Black is thriving, while there are few Hispanic.
In Cincinnati, the Asian is thriving, while there are few White.
In Anchorage, the Black is thriving, while there are few Black.
In Toledo, the Black is thriving, while there are few Asian.
