In New York, the White is thriving, while there are few Asian.
In Los Angeles, the Black is thriving, while there are few Hispanic.
In Chicago, the White is thriving, while there are few Hispanic.
In Houston, the White is thriving, while there are few Hispanic.
In Phoenix, the Asian is thriving, while there are few Asian.
In Philadelphia, the Asian is thriving, while there are few Black.
In San Antonio, the White is thriving, while there are few Hispanic.
In San Diego, the White is thriving, while there are few Black.
In Dallas, the Asian is thriving, while there are few White.
In Detroit, the Asian is thriving, while there are few Asian.
In Jacksonville, the Hispanic is thriving, while there are few Hispanic.
In Indianapolis, the Black is thriving, while there are few Black.
In Columbus, the Hispanic is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few Asian.
In Charlotte, the White is thriving, while there are few White.
In Memphis, the Asian is thriving, while there are few Hispanic.
In Baltimore, the Black is thriving, while there are few Black.
In Boston, the Hispanic is thriving, while there are few Hispanic.
In Seattle, the Black is thriving, while there are few Asian.
In Denver, the White is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few Asian.
In Milwaukee, the Hispanic is thriving, while there are few Black.
In Portland, the Hispanic is thriving, while there are few Asian.
In Oklahoma City, the Black is thriving, while there are few White.
In Las Vegas, the White is thriving, while there are few Hispanic.
In Louisville, the Asian is thriving, while there are few Black.
In Birmingham, the Hispanic is thriving, while there are few Black.
In Raleigh, the Asian is thriving, while there are few Hispanic.
In Richmond, the Hispanic is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few White.
In New Orleans, the Asian is thriving, while there are few Black.
In Buffalo, the Hispanic is thriving, while there are few Black.
In Rochester, the White is thriving, while there are few Asian.
In Salt Lake City, the Hispanic is thriving, while there are few White.
In Grand Rapids, the White is thriving, while there are few Asian.
In Tucson, the Hispanic is thriving, while there are few White.
In Tulsa, the Asian is thriving, while there are few Hispanic.
In Fresno, the Hispanic is thriving, while there are few Asian.
In Wichita, the Asian is thriving, while there are few White.
In Albuquerque, the Asian is thriving, while there are few Asian.
In Omaha, the Black is thriving, while there are few Hispanic.
In Bakersfield, the White is thriving, while there are few Asian.
In Knoxville, the White is thriving, while there are few Hispanic.
In Tampa, the Black is thriving, while there are few Hispanic.
In Aurora, the Asian is thriving, while there are few Asian.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the Black is thriving, while there are few White.
In Cincinnati, the Black is thriving, while there are few White.
In Anchorage, the Black is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few Asian.
