In New York, the Black is thriving, while there are few White.
In Los Angeles, the Hispanic is thriving, while there are few Asian.
In Chicago, the Hispanic is thriving, while there are few White.
In Houston, the Hispanic is thriving, while there are few Black.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the Asian is thriving, while there are few Black.
In San Antonio, the Black is thriving, while there are few Asian.
In San Diego, the White is thriving, while there are few Asian.
In Dallas, the White is thriving, while there are few White.
In Detroit, the Asian is thriving, while there are few White.
In Jacksonville, the Black is thriving, while there are few Hispanic.
In Indianapolis, the White is thriving, while there are few Black.
In Columbus, the Hispanic is thriving, while there are few White.
In Austin, the Asian is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few Hispanic.
In Memphis, the Asian is thriving, while there are few White.
In Baltimore, the Hispanic is thriving, while there are few Hispanic.
In Boston, the Hispanic is thriving, while there are few Black.
In Seattle, the Hispanic is thriving, while there are few Asian.
In Denver, the Black is thriving, while there are few Hispanic.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the Hispanic is thriving, while there are few White.
In Portland, the Hispanic is thriving, while there are few Hispanic.
In Oklahoma City, the Hispanic is thriving, while there are few Hispanic.
In Las Vegas, the Asian is thriving, while there are few Asian.
In Louisville, the White is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few White.
In Raleigh, the Asian is thriving, while there are few Asian.
In Richmond, the Asian is thriving, while there are few White.
In Hartford, the Hispanic is thriving, while there are few White.
In New Orleans, the Asian is thriving, while there are few White.
In Buffalo, the Hispanic is thriving, while there are few Hispanic.
In Rochester, the Asian is thriving, while there are few Asian.
In Salt Lake City, the Black is thriving, while there are few White.
In Grand Rapids, the Hispanic is thriving, while there are few Hispanic.
In Tucson, the Hispanic is thriving, while there are few White.
In Tulsa, the Asian is thriving, while there are few Black.
In Fresno, the White is thriving, while there are few Black.
In Wichita, the Hispanic is thriving, while there are few White.
In Albuquerque, the Asian is thriving, while there are few White.
In Omaha, the Hispanic is thriving, while there are few Asian.
In Bakersfield, the Hispanic is thriving, while there are few Asian.
In Knoxville, the Black is thriving, while there are few White.
In Tampa, the Black is thriving, while there are few Black.
In Aurora, the Black is thriving, while there are few White.
In Santa Ana, the Asian is thriving, while there are few Asian.
In Pittsburgh, the Asian is thriving, while there are few Black.
In Cincinnati, the White is thriving, while there are few Asian.
In Anchorage, the Asian is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few Black.
