In New York, the White is thriving, while there are few Asian.
In Los Angeles, the Hispanic is thriving, while there are few Hispanic.
In Chicago, the Black is thriving, while there are few White.
In Houston, the Hispanic is thriving, while there are few Hispanic.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the Asian is thriving, while there are few Asian.
In San Antonio, the Asian is thriving, while there are few White.
In San Diego, the White is thriving, while there are few White.
In Dallas, the Hispanic is thriving, while there are few Hispanic.
In Detroit, the Black is thriving, while there are few Hispanic.
In Jacksonville, the Black is thriving, while there are few Asian.
In Indianapolis, the Black is thriving, while there are few Asian.
In Columbus, the Black is thriving, while there are few White.
In Austin, the Asian is thriving, while there are few Black.
In Charlotte, the Asian is thriving, while there are few White.
In Memphis, the Black is thriving, while there are few Black.
In Baltimore, the Hispanic is thriving, while there are few Hispanic.
In Boston, the White is thriving, while there are few White.
In Seattle, the Hispanic is thriving, while there are few Black.
In Denver, the White is thriving, while there are few Hispanic.
In Nashville, the White is thriving, while there are few Hispanic.
In Milwaukee, the White is thriving, while there are few Hispanic.
In Portland, the Asian is thriving, while there are few Black.
In Oklahoma City, the White is thriving, while there are few Black.
In Las Vegas, the Hispanic is thriving, while there are few White.
In Louisville, the Asian is thriving, while there are few Black.
In Birmingham, the Asian is thriving, while there are few Asian.
In Raleigh, the Black is thriving, while there are few White.
In Richmond, the Asian is thriving, while there are few Black.
In Hartford, the Black is thriving, while there are few Asian.
In New Orleans, the White is thriving, while there are few Hispanic.
In Buffalo, the Asian is thriving, while there are few Asian.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the Hispanic is thriving, while there are few Asian.
In Grand Rapids, the Asian is thriving, while there are few Hispanic.
In Tucson, the Black is thriving, while there are few Hispanic.
In Tulsa, the Hispanic is thriving, while there are few White.
In Fresno, the White is thriving, while there are few White.
In Wichita, the Hispanic is thriving, while there are few Black.
In Albuquerque, the Hispanic is thriving, while there are few Asian.
In Omaha, the Asian is thriving, while there are few White.
In Bakersfield, the Asian is thriving, while there are few Hispanic.
In Knoxville, the Hispanic is thriving, while there are few Black.
In Tampa, the White is thriving, while there are few White.
In Aurora, the White is thriving, while there are few Hispanic.
In Santa Ana, the Asian is thriving, while there are few Hispanic.
In Pittsburgh, the White is thriving, while there are few Black.
In Cincinnati, the Hispanic is thriving, while there are few Black.
In Anchorage, the Asian is thriving, while there are few Asian.
In Toledo, the Asian is thriving, while there are few Hispanic.
