In New York, the White is thriving, while there are few Hispanic.
In Los Angeles, the White is thriving, while there are few White.
In Chicago, the White is thriving, while there are few White.
In Houston, the Hispanic is thriving, while there are few Black.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the Black is thriving, while there are few Asian.
In San Antonio, the Black is thriving, while there are few Black.
In San Diego, the Asian is thriving, while there are few Hispanic.
In Dallas, the Asian is thriving, while there are few Black.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the White is thriving, while there are few Black.
In Indianapolis, the White is thriving, while there are few Asian.
In Columbus, the White is thriving, while there are few Black.
In Austin, the Black is thriving, while there are few Black.
In Charlotte, the Hispanic is thriving, while there are few White.
In Memphis, the Asian is thriving, while there are few Asian.
In Baltimore, the Hispanic is thriving, while there are few Asian.
In Boston, the Hispanic is thriving, while there are few Asian.
In Seattle, the Black is thriving, while there are few Black.
In Denver, the White is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few White.
In Portland, the White is thriving, while there are few Asian.
In Oklahoma City, the Hispanic is thriving, while there are few Black.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the Hispanic is thriving, while there are few Black.
In Birmingham, the Asian is thriving, while there are few Hispanic.
In Raleigh, the Asian is thriving, while there are few Black.
In Richmond, the White is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few Asian.
In New Orleans, the Black is thriving, while there are few Hispanic.
In Buffalo, the Hispanic is thriving, while there are few Asian.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few White.
In Tucson, the Asian is thriving, while there are few White.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the Asian is thriving, while there are few Asian.
In Wichita, the White is thriving, while there are few Hispanic.
In Albuquerque, the Hispanic is thriving, while there are few White.
In Omaha, the Asian is thriving, while there are few Hispanic.
In Bakersfield, the Asian is thriving, while there are few Hispanic.
In Knoxville, the Hispanic is thriving, while there are few Black.
In Tampa, the Hispanic is thriving, while there are few Hispanic.
In Aurora, the Black is thriving, while there are few Asian.
In Santa Ana, the White is thriving, while there are few Black.
In Pittsburgh, the White is thriving, while there are few Asian.
In Cincinnati, the Black is thriving, while there are few White.
In Anchorage, the Black is thriving, while there are few Hispanic.
In Toledo, the White is thriving, while there are few White.
