In New York, the Hispanic is thriving, while there are few White.
In Los Angeles, the Hispanic is thriving, while there are few Black.
In Chicago, the Black is thriving, while there are few Black.
In Houston, the Black is thriving, while there are few Black.
In Phoenix, the Hispanic is thriving, while there are few Asian.
In Philadelphia, the Hispanic is thriving, while there are few Asian.
In San Antonio, the White is thriving, while there are few Asian.
In San Diego, the Black is thriving, while there are few Asian.
In Dallas, the Black is thriving, while there are few White.
In Detroit, the Hispanic is thriving, while there are few Black.
In Jacksonville, the Asian is thriving, while there are few Asian.
In Indianapolis, the Black is thriving, while there are few Asian.
In Columbus, the Hispanic is thriving, while there are few White.
In Austin, the White is thriving, while there are few Hispanic.
In Charlotte, the Asian is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few Hispanic.
In Baltimore, the Asian is thriving, while there are few Black.
In Boston, the White is thriving, while there are few Black.
In Seattle, the Asian is thriving, while there are few Hispanic.
In Denver, the Asian is thriving, while there are few Hispanic.
In Nashville, the Black is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few White.
In Portland, the White is thriving, while there are few White.
In Oklahoma City, the Hispanic is thriving, while there are few Hispanic.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the White is thriving, while there are few White.
In Birmingham, the Asian is thriving, while there are few Hispanic.
In Raleigh, the White is thriving, while there are few White.
In Richmond, the Asian is thriving, while there are few White.
In Hartford, the White is thriving, while there are few Asian.
In New Orleans, the White is thriving, while there are few Asian.
In Buffalo, the White is thriving, while there are few White.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the White is thriving, while there are few Black.
In Grand Rapids, the Hispanic is thriving, while there are few Black.
In Tucson, the Hispanic is thriving, while there are few Black.
In Tulsa, the White is thriving, while there are few Black.
In Fresno, the Asian is thriving, while there are few Black.
In Wichita, the Hispanic is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few Black.
In Omaha, the Black is thriving, while there are few White.
In Bakersfield, the Hispanic is thriving, while there are few Black.
In Knoxville, the White is thriving, while there are few White.
In Tampa, the Asian is thriving, while there are few Black.
In Aurora, the Black is thriving, while there are few White.
In Santa Ana, the White is thriving, while there are few Asian.
In Pittsburgh, the Asian is thriving, while there are few White.
In Cincinnati, the Asian is thriving, while there are few White.
In Anchorage, the White is thriving, while there are few Black.
In Toledo, the Hispanic is thriving, while there are few Asian.
