In New York, the Asian is thriving, while there are few Hispanic.
In Los Angeles, the Hispanic is thriving, while there are few Asian.
In Chicago, the Hispanic is thriving, while there are few White.
In Houston, the Hispanic is thriving, while there are few Asian.
In Phoenix, the White is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few White.
In San Antonio, the Asian is thriving, while there are few Black.
In San Diego, the Asian is thriving, while there are few Asian.
In Dallas, the Black is thriving, while there are few Black.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the Hispanic is thriving, while there are few Hispanic.
In Indianapolis, the Hispanic is thriving, while there are few Hispanic.
In Columbus, the Hispanic is thriving, while there are few Black.
In Austin, the White is thriving, while there are few Black.
In Charlotte, the Black is thriving, while there are few Asian.
In Memphis, the Black is thriving, while there are few White.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the Asian is thriving, while there are few Black.
In Seattle, the White is thriving, while there are few Black.
In Denver, the Hispanic is thriving, while there are few Black.
In Nashville, the Hispanic is thriving, while there are few Black.
In Milwaukee, the Hispanic is thriving, while there are few Hispanic.
In Portland, the Hispanic is thriving, while there are few Asian.
In Oklahoma City, the White is thriving, while there are few Asian.
In Las Vegas, the Asian is thriving, while there are few Asian.
In Louisville, the White is thriving, while there are few Hispanic.
In Birmingham, the Asian is thriving, while there are few Hispanic.
In Raleigh, the Black is thriving, while there are few White.
In Richmond, the Asian is thriving, while there are few Asian.
In Hartford, the Hispanic is thriving, while there are few Hispanic.
In New Orleans, the White is thriving, while there are few Asian.
In Buffalo, the Black is thriving, while there are few Hispanic.
In Rochester, the White is thriving, while there are few Hispanic.
In Salt Lake City, the Asian is thriving, while there are few Asian.
In Grand Rapids, the Black is thriving, while there are few Black.
In Tucson, the Black is thriving, while there are few White.
In Tulsa, the Hispanic is thriving, while there are few Asian.
In Fresno, the White is thriving, while there are few White.
In Wichita, the Black is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few Black.
In Omaha, the Hispanic is thriving, while there are few Black.
In Bakersfield, the Hispanic is thriving, while there are few Hispanic.
In Knoxville, the Asian is thriving, while there are few Asian.
In Tampa, the Asian is thriving, while there are few White.
In Aurora, the Black is thriving, while there are few Asian.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the Black is thriving, while there are few White.
In Cincinnati, the Asian is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few Black.
In Toledo, the Black is thriving, while there are few Asian.
